,time1,signal1,time2,signal2
113,12.33,82.34285714,12.33,29.71428571
114,12.45,56.37142857,12.45,19.74285714
115,12.56,23.62857143,12.56,13.57142857
116,12.67,194.4285714,12.67,17.8
117,12.78,434.7142857,12.78,27
118,12.89,606.4857143,12.89,23.8
119,13,585.7714286,13,22.42857143
120,13.11,585.4857143,13.11,13.42857143
121,13.22,564.8571429,13.22,20.51428571
122,13.33,525.3142857,13.33,30.77142857
123,13.44,480.4,13.44,35.62857143
124,13.55,424.7428571,13.55,30.02857143
125,13.66,345.4571429,13.66,35.28571429
126,13.77,245.3142857,13.77,35.97142857
127,13.88,162.4571429,13.88,16.77142857
128,13.98,123.0857143,13.98,6.2
129,14.08,111.7142857,14.08,10.4
130,14.19,108.7714286,14.19,21.2
131,14.3,99.08571429,14.3,25.22857143
132,14.41,85.8,14.41,20.62857143
133,14.52,67.25714286,14.52,14.45714286
134,14.63,49.37142857,14.63,15.57142857
135,14.73,225.7714286,14.73,23.4
136,14.84,472.0285714,14.84,35.62857143
137,14.95,626.9714286,14.95,32.17142857
138,15.06,592.4,15.06,26.94285714
139,15.17,566.2,15.17,16.22857143
140,15.28,552.2571429,15.28,21.08571429
141,15.39,512.9428571,15.39,12.94285714
142,15.48,466.1714286,15.48,10.68571429
143,15.59,408.0285714,15.59,19.51428571
144,15.7,337.3714286,15.7,34.28571429
145,15.81,243.1142857,15.81,28.05714286
146,15.92,159.5714286,15.92,20.05714286
147,16.03,111.6571429,16.03,27.85714286
148,16.14,98.88571429,16.14,39.71428571
149,16.25,93.74285714,16.25,35.31428571
150,16.38,75.82857143,16.38,24.85714286
151,16.48,66.48571429,16.48,22.57142857
152,16.59,59.4,16.59,18.65714286
153,16.7,6.171428571,16.7,14.77142857
154,16.81,159.8571429,16.81,13.97142857
155,16.92,409.9714286,16.92,19.8
156,17.03,595.9714286,17.03,30.28571429
157,17.13,589.6285714,17.13,25.42857143
158,17.23,593.3428571,17.23,24.17142857
159,17.36,569.3714286,17.36,26.42857143
160,17.47,514.2571429,17.47,47.14285714
161,17.58,481.1714286,17.58,46.25714286
162,17.69,435.7714286,17.69,32.48571429
163,17.8,367.6857143,17.8,23.88571429
164,17.91,261.8571429,17.91,21.05714286
165,18.02,180.4857143,18.02,18.17142857
166,18.13,130.7714286,18.13,13.8
167,18.23,112.7714286,18.23,22.68571429
168,18.36,92.31428571,18.36,17.88571429
169,18.47,71.4,18.47,19.28571429
170,18.58,59.74285714,18.58,21.68571429
171,18.69,55.91428571,18.69,38.22857143
172,18.78,17.85714286,18.78,44.48571429
173,18.89,164.0571429,18.89,43.8
174,19,405.5714286,19,31
